,Hour,Box
0,9.5,13
1,10.0,6
2,10.0,6
3,10.5,13
4,11.5,6
5,11.5,7
6,12.0,7
7,13.0,1
8,13.0,4
9,13.0,4
10,13.0,4
11,13.0,4
12,13.0,7
13,13.5,6
14,13.5,6
15,13.5,6
16,13.5,6
17,13.5,6
18,13.5,6
19,13.5,7
20,14.0,7
21,14.5,1
22,14.5,1
23,14.5,4
24,14.5,4
25,14.5,4
26,14.5,4
27,14.5,4
28,14.5,4
29,14.5,7
30,14.5,7
31,14.5,9
32,14.5,9
33,14.5,9
34,14.5,9
35,15.0,4
36,15.0,4
37,15.0,4
38,15.0,4
39,15.0,4
40,15.0,4
41,15.0,6
42,15.0,6
43,15.0,9
44,15.0,9
45,15.0,9
46,15.0,9
47,15.0,9
48,15.0,9
49,15.0,9
50,15.0,9
51,15.5,1
52,15.5,1
53,15.5,6
54,15.5,6
55,15.5,6
56,15.5,6
57,15.5,9
58,15.5,9
59,15.5,10
60,15.5,10
61,15.5,13
62,15.5,13
63,16.0,2
64,16.0,6
65,16.0,9
66,16.0,13
67,16.0,13
68,16.5,9
69,16.5,13
70,16.5,13
71,16.5,13
72,17.0,9
73,18.5,12
74,18.5,13
75,18.5,13
76,18.5,13
77,18.5,13
78,0.0,3
79,0.0,5
80,0.0,8
81,0.0,11
